FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
100124;0000;;19,5417;;
100125;0000;;17,5167;;
100126;0000;;20,1208;;
100127;0000;;37,5333;;
100128;0000;;32,825;;
100129;0000;;18,075;;
100130;0000;;27,15;;
100131;0000;;28,7;;
100201;0000;;23,1083;;
100202;0000;;15,0042;;
100203;0000;;12,8792;;
100204;0000;;18,7285;;
100205;0000;;;;
100206;0000;;11,6375;;
100207;0000;;11,6667;;
100208;0000;;12;;
100209;0000;;15,35;;
100210;0000;;24,75;;
100211;0000;;21,3;;
100212;0000;;19,1791;;
100213;0000;;30,4083;;
100214;0000;;33,35;;
100215;0000;;27,475;;
100216;0000;;21,8583;;
100217;0000;;20,5541;;
100218;0000;;12,0875;;
100219;0000;;12,6292;;
100220;0000;;19,5083;;
100221;0000;;16,9792;;
100222;0000;;10,95;;
100223;0000;;16,2042;;
100224;0000;;19,3875;;
100225;0000;;15,8083;;
100226;0000;;15,3333;;
100227;0000;;;;
100228;0000;;;;
100301;0000;;;;
100302;0000;;;;
100303;0000;;13,8454;;
100304;0000;;14,8304;;
100305;0000;;17,9583;;
100306;0000;;20,8625;;
100307;0000;;11,1333;;
100308;0000;;12,413;;
100309;0000;;27,0583;;
100310;0000;;19,9542;;
100311;0000;;22,2625;;
100312;0000;;19,7333;;
100313;0000;;17,5542;;
100314;0000;;16,5263;;
100315;0000;;;;
100316;0000;;;;
100317;0000;;;11,9209;
100318;0000;;;6,01283;
100319;0000;;15,2625;;
100320;0000;;11,675;;
100321;0000;;7,24583;;
100322;0000;;14,8167;;
100323;0000;;18,8542;;
100324;0000;;36,6958;;
100325;0000;;22,8583;;
100326;0000;;21,5363;;
100327;0000;;18,6;;
100328;0000;;10,5167;;
100329;0000;;24,5417;;
100330;0000;;31,0708;;
100331;0000;;33,3833;;
100401;0000;;10,5916;;
100402;0000;;14,1292;;
100403;0000;;18,5083;;
100404;0000;;20,9125;;
100405;0000;;24,1833;;
100406;0000;;25,5291;;
100407;0000;;23,3083;;
100408;0000;;39,0416;;
