FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
240322;0000;;11;;
240323;0000;;9;;
240324;0000;;9;;
240325;0000;;8;;
240326;0000;;11;;
240327;0000;;16;;
240328;0000;;12;;
240329;0000;;17;;
240330;0000;;20;;
240331;0000;;11;;
240401;0000;;12;;
240402;0000;;10;;
240403;0000;;7;;
240404;0000;;11;;
240405;0000;;11;;
240406;0000;;9;;
240407;0000;;15;;
240408;0000;;13;;
240409;0000;;11;;
240410;0000;;13;;
240411;0000;;13;;
240412;0000;;10;;
240413;0000;;10;;
240414;0000;;8;;
240415;0000;;10;;
240416;0000;;10;;
240417;0000;;14;;
240418;0000;;17;;
240419;0000;;10;;
240420;0000;;16;;
240421;0000;;11;;
240422;0000;;4;;
240423;0000;;8;;
240424;0000;;14;;
240425;0000;;9;;
240426;0000;;6;;
240427;0000;;7;;
240428;0000;;12;;
240429;0000;;6;;
240430;0000;;4;;
240501;0000;;5;;
240502;0000;;9;;
240503;0000;;13;;
240504;0000;;13;;
240505;0000;;9;;
240506;0000;;8;;
240507;0000;;7;;
240508;0000;;8;;
240509;0000;;17;;
240510;0000;;14;;
240511;0000;;16;;
240512;0000;;12;;
240513;0000;;17;;
240514;0000;;22;;
240515;0000;;24;;
240516;0000;;13;;
240517;0000;;13;;
240518;0000;;24;;
240519;0000;;37;;
240520;0000;;28;;
240521;0000;;8;;
240522;0000;;11;;
240523;0000;;5;;
240524;0000;;16;;
240525;0000;;17;;
240526;0000;;14;;
240527;0000;;17;;
240528;0000;;15;;
240529;0000;;23;;
240530;0000;;28;;
240531;0000;;19;;
240601;0000;;27;;
240602;0000;;23;;
240603;0000;;16;;
240604;0000;;25;;
240605;0000;;;;
240606;0000;;;;
240607;0000;;26;;
240608;0000;;9;;
240609;0000;;8;;
240610;0000;;10;;
240611;0000;;11;;
240612;0000;;7;;
240613;0000;;5;;
240614;0000;;7;;
240615;0000;;14;;
240616;0000;;15;;
240617;0000;;14;;
240618;0000;;3;;
240619;0000;;8;;
240620;0000;;6;;
240621;0000;;5;;
240622;0000;;5;;
240623;0000;;4;;
240624;0000;;7;;
240625;0000;;10;;
240626;0000;;20;;
240627;0000;;17;;
240628;0000;;11;;
240629;0000;;32;;
240630;0000;;33;;
240701;0000;;27;;
240702;0000;;19;;
240703;0000;;15;;
240704;0000;;16;;
240705;0000;;28;;
240706;0000;;20;;
