FECHA (YYMMDD);HORA (HHMM);;
140613;2200;0;
140613;2300;0;
140614;0000;0;
140614;0100;0;
140614;0200;0;
140614;0300;0;
140614;0400;0;
140614;0500;0;
140614;0600;0;
140614;0700;1;
140614;0800;30;
140614;0900;215;
140614;1000;332;
140614;1100;494;
140614;1200;385;
140614;1300;471;
140614;1400;486;
140614;1500;290;
140614;1600;93;
140614;1700;8;
140614;1800;0;
140614;1900;0;
140614;2000;0;
140614;2100;0;
140614;2200;0;
140614;2300;0;
140615;0000;0;
140615;0100;0;
140615;0200;0;
140615;0300;0;
140615;0400;0;
140615;0500;0;
140615;0600;0;
140615;0700;1;
140615;0800;30;
140615;0900;201;
140615;1000;448;
140615;1100;536;
140615;1200;606;
140615;1300;585;
140615;1400;499;
140615;1500;345;
140615;1600;108;
140615;1700;10;
140615;1800;0;
140615;1900;0;
140615;2000;0;
140615;2100;0;
140615;2200;0;
140615;2300;0;
140616;0000;0;
140616;0100;0;
140616;0200;0;
140616;0300;0;
140616;0400;0;
140616;0500;0;
140616;0600;0;
140616;0700;1;
140616;0800;21;
140616;0900;256;
140616;1000;486;
140616;1100;586;
140616;1200;624;
140616;1300;603;
140616;1400;510;
140616;1500;352;
140616;1600;108;
140616;1700;10;
140616;1800;0;
140616;1900;0;
140616;2000;0;
140616;2100;0;
140616;2200;0;
140616;2300;0;
140617;0000;0;
140617;0100;0;
140617;0200;0;
140617;0300;0;
140617;0400;0;
140617;0500;0;
140617;0600;0;
140617;0700;1;
140617;0800;21;
140617;0900;252;
140617;1000;481;
140617;1100;583;
140617;1200;619;
140617;1300;505;
140617;1400;;
140617;1500;;
140617;1600;109;
140617;1700;11;
140617;1800;0;
140617;1900;0;
140617;2000;0;
140617;2100;0;
140617;2200;0;
140617;2300;0;
140618;0000;0;
140618;0100;0;
140618;0200;0;
140618;0300;0;
140618;0400;0;
140618;0500;0;
140618;0600;0;
140618;0700;0;
140618;0800;14;
140618;0900;57;
140618;1000;92;
140618;1100;137;
140618;1200;154;
140618;1300;154;
140618;1400;128;
140618;1500;100;
140618;1600;45;
140618;1700;7;
140618;1800;0;
140618;1900;0;
140618;2000;0;
140618;2100;0;
140618;2200;0;
140618;2300;0;
140619;0000;0;
140619;0100;0;
140619;0200;0;
140619;0300;0;
140619;0400;0;
140619;0500;0;
140619;0600;0;
