FECHA (YYMMDD);HORA (HHMM);;
140625;0300;8,39999;
140625;0400;8,39999;
140625;0500;8,59999;
140625;0600;8,09999;
140625;0700;8,2;
140625;0800;8,79999;
140625;0900;9,79999;
140625;1000;11,4;
140625;1100;12,3;
140625;1200;13,8;
140625;1300;14,9;
140625;1400;14,8;
140625;1500;13,2;
140625;1600;12,6;
140625;1700;11,9;
140625;1800;11,1;
140625;1900;10,6;
140625;2000;10,3;
140625;2100;9,79999;
140625;2200;9,09999;
140625;2300;8,29999;
140626;0000;7,8;
140626;0100;7,1;
140626;0200;6,5;
140626;0300;6,5;
140626;0400;6,1;
140626;0500;6,3;
140626;0600;5,5;
140626;0700;5,3;
140626;0800;5,8;
140626;0900;7,8;
140626;1000;12,5;
140626;1100;13,8;
140626;1200;14,6;
140626;1300;15,1;
140626;1400;15,5;
140626;1500;16,5;
140626;1600;13,9;
140626;1700;12,3;
140626;1800;11;
140626;1900;10,2;
140626;2000;9,89999;
140626;2100;9,59999;
140626;2200;8,89999;
140626;2300;8;
140627;0000;6,7;
140627;0100;6,2;
140627;0200;5,7;
140627;0300;5,7;
140627;0400;5,39999;
140627;0500;5,2;
140627;0600;4,8;
140627;0700;5,1;
140627;0800;5;
140627;0900;6,89999;
140627;1000;12,1;
140627;1100;13,4;
140627;1200;14,9;
140627;1300;16,5;
140627;1400;17,8;
140627;1500;18,5;
140627;1600;15,1;
140627;1700;13,6;
140627;1800;11,6;
140627;1900;10,6;
140627;2000;9,59999;
140627;2100;8,39999;
140627;2200;7,39999;
140627;2300;6,89999;
140628;0000;6,39999;
140628;0100;5,8;
140628;0200;5,89999;
140628;0300;5,7;
140628;0400;5,39999;
140628;0500;5,8;
140628;0600;6,3;
140628;0700;6,3;
140628;0800;6,7;
140628;0900;8,29999;
140628;1000;10;
140628;1100;11,9;
140628;1200;13,6;
140628;1300;14,2;
140628;1400;15,2;
140628;1500;15,1;
140628;1600;12,6;
140628;1700;11,6;
140628;1800;9,89999;
140628;1900;8,79999;
140628;2000;8,89999;
140628;2100;8,59999;
140628;2200;8,09999;
140628;2300;7,7;
140629;0000;7,2;
140629;0100;6,5;
140629;0200;5,89999;
140629;0300;5,2;
140629;0400;4,8;
140629;0500;4,3;
140629;0600;3,9;
140629;0700;3,5;
140629;0800;3,3;
140629;0900;5;
140629;1000;9,79999;
140629;1100;12,5;
140629;1200;13,7;
140629;1300;14;
140629;1400;14,5;
140629;1500;14,6;
140629;1600;11,7;
140629;1700;10,6;
140629;1800;9,79999;
140629;1900;9,89999;
140629;2000;10;
140629;2100;10,1;
140629;2200;10,2;
140629;2300;10,2;
140630;0000;10,1;
140630;0100;9,89999;
140630;0200;10;
140630;0300;10,1;
140630;0400;9,89999;
140630;0500;9,79999;
140630;0600;9,89999;
140630;0700;9,89999;
140630;0800;10,1;
140630;0900;10,2;
140630;1000;10,6;
140630;1100;11;
140630;1200;11,4;
140630;1300;11,4;
140630;1400;11,5;
140630;1500;11,4;
140630;1600;11,3;
140630;1700;11;
140630;1800;10,7;
140630;1900;10,6;
140630;2000;10,5;
140630;2100;10,4;
140630;2200;10,3;
140630;2300;10,1;
140701;0000;10,1;
140701;0100;10,1;
140701;0200;9,7;
140701;0300;8,5;
140701;0400;7,3;
140701;0500;6,39999;
140701;0600;5,7;
140701;0700;5,5;
140701;0800;5,6;
140701;0900;7,1;
140701;1000;10,8;
140701;1100;13,1;
140701;1200;14,9;
140701;1300;14,8;
140701;1400;13,8;
140701;1500;13,4;
140701;1600;12,3;
140701;1700;11,4;
140701;1800;10,7;
140701;1900;10,1;
140701;2000;9,09999;
140701;2100;8,7;
140701;2200;8,59999;
140701;2300;9;
140702;0000;10,4;
140702;0100;9,79999;
140702;0200;9,7;
140702;0300;10;
140702;0400;10,2;
140702;0500;10,4;
140702;0600;11,2;
140702;0700;11,2;
140702;0800;11,1;
140702;0900;11,9;
140702;1000;15,3;
140702;1100;16,4;
140702;1200;15,4;
140702;1300;16,2;
140702;1400;17;
140702;1500;18;
140702;1600;14,5;
140702;1700;13,5;
140702;1800;12,4;
140702;1900;11,6;
140702;2000;11,2;
140702;2100;11,1;
140702;2200;11,1;
140702;2300;10,9;
140703;0000;10,5;
140703;0100;9,59999;
140703;0200;8,39999;
140703;0300;8,09999;
140703;0400;7,8;
140703;0500;7,5;
